time_from_start,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2
0,1.01652,0.782749,1.87932,-1.96894,-0.738131,1.64453,-2.41761,0.00210446,5.3741e-05
0.193732,1.05995,0.85268,1.9164,-1.94795,-0.80967,1.57987,-2.41329,0.00210446,5.3741e-05
0.303629,1.10338,0.92261,1.95349,-1.92696,-0.88121,1.51521,-2.40897,0.00210446,5.3741e-05
0.389133,1.14681,0.992541,1.99058,-1.90597,-0.95275,1.45054,-2.40464,0.00210446,5.3741e-05
0.462744,1.19024,1.06247,2.02767,-1.88498,-1.02429,1.38588,-2.40032,0.00210446,5.3741e-05
0.528353,1.23368,1.1324,2.06476,-1.86398,-1.09583,1.32121,-2.396,0.00210446,5.3741e-05
0.588663,1.27711,1.20233,2.10185,-1.84299,-1.16737,1.25655,-2.39168,0.00210446,5.3741e-05
0.644795,1.32054,1.27226,2.13894,-1.822,-1.23891,1.19189,-2.38736,0.00210446,5.3741e-05
0.702054,1.36397,1.3422,2.17603,-1.80101,-1.31045,1.12722,-2.38304,0.00210446,5.3741e-05
0.764058,1.4074,1.41213,2.21312,-1.78002,-1.38199,1.06256,-2.37872,0.00210446,5.3741e-05
0.832331,1.45083,1.48206,2.25021,-1.75903,-1.45353,0.997895,-2.3744,0.00210446,5.3741e-05
0.909894,1.49426,1.55199,2.2873,-1.73804,-1.52507,0.933231,-2.37008,0.00210446,5.3741e-05
1.00251,1.53769,1.62192,2.32439,-1.71705,-1.59661,0.868567,-2.36576,0.00210446,5.3741e-05
1.12722,1.58112,1.69185,2.36147,-1.69605,-1.66815,0.803903,-2.36144,0.00210446,5.3741e-05
1.40241,1.62455,1.76178,2.39856,-1.67506,-1.73969,0.739239,-2.35712,0.00210446,5.3741e-05
